Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adreese
Hochwertige Maisonette Wohnung am Brandenburger Tor!,https://www.immobilienscout24.de/expose/115539693,"2.055,65 €","549,22 €","235,38 €","2.840,25 €",3 Nettokaltmieten,6 von 7,157 m²,"2,5",1,1,True,True,2001,,Saniert,,Erdgas schwer,liegt vor,Verbrauchsausweis,,Mittelpunkt Immobilien Consult GmbH Scharnweberstr. 2 13405 Berlin,"Unter den Linden 74, 10117 Berlin, Mitte (Mitte)"
Wohnen in modernisierter und denkmalgeschützten Wohnanlage in Reinickendorf nahe Englisches Viertel,https://www.immobilienscout24.de/expose/115544107,630 €,100 €,35 €,765 €,3 Kaltmieten,0 von 3,"50,03 m²",1,,,True,,1959,zuletzt 2019,Erstbezug nach Sanierung,Zentralheizung,Öl,liegt vor,Bedarfsausweis,,Ruhnke Immobilien UG (haftungsbeschränkt) Gerichtstr. 23 13347 Berlin,"Holländerstr. 46, 13407 Berlin, Reinickendorf (Reinickendorf)"
Lichtdurchflutet und gemütlicher Wohnraum für Singles und Paare!!!,https://www.immobilienscout24.de/expose/115544196,"647,06 €","83,88 €","47,93 €","778,86 €",3 Nettokaltmieten,0 von 2,"47,93 m²",2,1,,,,2019,,Erstbezug,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,petruswerk Katholische Wohnungsbau- und Siedlungsges. mbH Kleinaustr. 10 14169 Berlin,"Johannes-Tobei-Str. 19, 12526 Berlin, Bohnsdorf (Treptow)"
Großzügig geschnittene Familienwohnung für mehr Gemütlichkeit und Raum!!!,https://www.immobilienscout24.de/expose/115540061,"1.567,17 €","225,98 €","112,99 €","1.906,14 €",3 Netto-Kaltmieten,3 von 4,"112,99 m²",3,,1,True,,1917,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,petruswerk Katholische Wohnungsbau- und Siedlungsges. mbH Kleinaustr. 10 14169 Berlin,"Mariendorfer Weg 35, 12051 Berlin, Neukölln (Neukölln)"
*Erstbezug* Tolle Familienwohnung für mehr Raum!!!,https://www.immobilienscout24.de/expose/115539582,"1.300,66 €","176,60 €","88,30 €","1.565,56 €",3 Netto-Kaltmieten,1 von 4,"88,3 m²",3,,1,True,,1917,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,petruswerk Katholische Wohnungsbau- und Siedlungsges. mbH Kleinaustr. 10 14169 Berlin,"Mariendorfer Weg 35, 12051 Berlin, Neukölln (Neukölln)"
Saniert und frisch renoviert,https://www.immobilienscout24.de/expose/115545441,"630,20 €","268,80 €","inkl. 121,75 €",899 €,"Kaution: 1.915,00 EUR",3,"71,87 m²","2,5",,,,,1927,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Zweibrücker Str. 81, 13583 Berlin, Spandau (Spandau)"
"Ruhig, Grün, Zentral - Wohnen in der Königsheide",https://www.immobilienscout24.de/expose/115544873,"983,15 €","109,89 €","131,87 €","1.224,91 €",3 Nettokaltmieten,2 von 3,"73,26 m²",2,1,1,,True,1952,zuletzt 2017,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,ROMI Immobilien GmbH Stralauer Platz 39 10243 Berlin,"Südostallee 108, 12487 Berlin, Johannisthal (Treptow)"
"ab 1 Monat: WG-Zimmer, möbliert, inkl. Wlan, TV, Bad/WC- und Küchenmitbenützung, Waschmaschine",https://www.immobilienscout24.de/expose/115545630,580 €,0 €,inkl. 0 €,551 €,200,1,16 m²,1,1,1,,True,,,Gepflegt,,,liegt zur Besichtigung vor,,,Urbanbnb Romanshorner Strasse 44a 8280 Kreuzlingen,"Uhlandstrasse 0, 13156 Berlin, Niederschönhausen (Pankow)"
Moderne Wohnung für Singles!,https://www.immobilienscout24.de/expose/115532646,"370,94 €","107,28 €","inkl. 29,96 €","478,22 €","Kaution: 1.112,00 EUR",4,"33,63 m²",1,,,True,,1971,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Réaumurstr. 34, 12207 Berlin, Lichterfelde (Steglitz)"
Gemütliche Singlewohnung! Wohnen ab 55 Jahren!,https://www.immobilienscout24.de/expose/115532647,"452,63 €","161,22 €","inkl. 44,93 €","613,85 €","Kaution: 1.357,00 EUR",4,"48,05 m²","1,5",,,True,,1984,,Gepflegt,Fernwärme,,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Scheelestr. 110, 12209 Berlin, Lichterfelde (Steglitz)"
Schöne möblierte Dachgeschosswohnung in Stadtvilla zum Wohlfühlen,https://www.immobilienscout24.de/expose/115532712,735 €,"132,64 €",nicht in Nebenkosten enthalten,"867,64 € (zzgl. Heizkosten)","2.205,00",3 von 3,62 m²,2,,1,,True,,,,,,,,,,"12587 Berlin-Friedrichshagen, Friedrichshagen (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Erstbezug nach Modernisierung! Großzügig geschnitten und eigener Mietergarten!,https://www.immobilienscout24.de/expose/115532648,"684,64 €","214,75 €","inkl. 76,27 €","899,39 €","Kaution: 2.066,00 EUR",0,"67,32 m²",2,,,True,,1992,,Modernisiert,Gas-Heizung,Gas,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Britzer Str. 64, 12109 Berlin, Mariendorf (Tempelhof)"
"Exklusive 3-Zimmer-Wohnung mit Einbauküche, am S+U Lichtenberg Bahnhof",https://www.immobilienscout24.de/expose/115532989,900 €,180 €,in Nebenkosten enthalten,1.080 €,,2 von 2,65 m²,3,,1,,True,,,,,,,,,,"Einbeckerstr 36, 10317 Berlin, Lichtenberg (Lichtenberg)"
Vierzimmerwohnung im Prenzlauer Berg,https://www.immobilienscout24.de/expose/115533097,1.565 €,170 €,nicht in Nebenkosten enthalten,1.735 € (zzgl. Heizkosten),"4.695,00",4 von 5,"104,29 m²",4,2,1,True,True,1920,zuletzt 2019,Erstbezug nach Sanierung,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,117 kWh/(m²*a),Philipp Ilemann,"Christburger Str. 23, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"3-Zimmer-Wohnung mit EBK und Balkon in Grünau (Köpenick), Berlin",https://www.immobilienscout24.de/expose/115533528,915 €,150 €,100 €,1.165 €,2850,2 von 3,"83,18 m²",3,,1,,True,,,,Fußbodenheizung,,,,,,"12527 Berlin, Grünau (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
*1-Zimmer im beliebten Kiez der Kastanienallee im Prenzlauer Berg - Nahe Schönhauser Allee*,https://www.immobilienscout24.de/expose/115534622,695 €,75 €,44 €,814 €,3 Kaltmieten,2 von 5,43 m²,1,1,1,,,1900,,,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,,Ruhnke Immobilien UG (haftungsbeschränkt) Gerichtstr. 23 13347 Berlin,"Greifenhagener Str. 64, 10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Attraktive 1,5-Zimmer-Wohnung mit Einbauküche in Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/115534646,720 €,130 €,in Nebenkosten enthalten,850 €,,2 von 4,52 m²,"1,5",,1,,True,,,,,,,,,,"Franklinstraße 21, 10587 Berlin, Charlottenburg (Charlottenburg)"
"Traumhafter Ausblick ins Grüne! Einbauküche, Parkett und Fußbodenheizung!",https://www.immobilienscout24.de/expose/115535266,589 €,172 €,inkl. 108 €,761 €,"Kaution: 1.767,00 EUR",0,"49,37 m²","1,5",,,True,True,1998,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Guyotstraße 26, 13127 Berlin, Französisch Buchholz (Pankow)"
Ohne viel Schnick-Schnack! Familienwohnung in Hellersdorf!,https://www.immobilienscout24.de/expose/115535268,599 €,136 €,inkl. 69 €,735 €,"Kaution: 1.797,00 EUR",4,"55,84 m²",3,,,,,1985,,Gepflegt,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Kastanienallee 76, 12627 Berlin, Hellersdorf (Hellersdorf)"
1-Zimmer-Wohnung mit EBK und Waschmaschine,https://www.immobilienscout24.de/expose/115537151,586 €,102 €,in Nebenkosten enthalten,688 €,,15 von 18,30 m²,1,,1,True,True,,,,,,,,,,"Einbecker Straße 101, 10315 Berlin, Friedrichsfelde (Lichtenberg)"
Moderne Single Wohnung - Direkt an der Spree und voll möbliert!,https://www.immobilienscout24.de/expose/115537794,"504,73 €","59,38 €","29,69 €","593,80 €",3 Nettokaltmieten,3 von 5,"29,69 m²",1,,,True,True,2018,,Neuwertig,Fußbodenheizung,KWK fossil,liegt vor,Bedarfsausweis,,ROMI Immobilien GmbH Stralauer Platz 39 10243 Berlin,"Tabbertstraße 6C, 12459 Berlin, Oberschöneweide (Köpenick)"
3-Zimmerwohnung mit EBK und Balkon sucht neuen Mieter,https://www.immobilienscout24.de/expose/115537993,789 €,65 €,95 €,949 €,"2367,00",2 von 4,"79,73 m²",3,2,1,True,True,,,Gepflegt,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,Schela Hausverwaltung GmbH Bahnhofstraße 11 12555 Berlin,"Plauener Str. 89 b, 13055 Berlin, Alt-Hohenschönhausen (Hohenschönhausen)"
Helles Souterrain! Hofseitig ausgerichtet! Erstbezug nach Modernisierung!,https://www.immobilienscout24.de/expose/115539018,"553,57 €","179,65 €","inkl. 71,78 €","733,22 €","Kaution: 1.660,00 EUR",,"54,48 m²",2,,,,,1934,,Modernisiert,Etagenheizung,Gas,,Bedarfsausweis,,Deutsche Wohnen Gruppe,"Burchardstr. 29A, 12103 Berlin, Tempelhof (Tempelhof)"
*Erstbezug* Gemütliche Familienwohnung im Herzen von Berlin-Neukölln!!!,https://www.immobilienscout24.de/expose/115539208,"1.458,42 €","201,30 €","100,65 €","1.760,37 €",3 Netto-Kaltmieten,0 von 4,"100,65 m²",3,,1,,,1917,zuletzt 2019,Erstbezug,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,petruswerk Katholische Wohnungsbau- und Siedlungsges. mbH Kleinaustr. 10 14169 Berlin,"Mariendorfer Weg 35, 12051 Berlin, Neukölln (Neukölln)"
"Am Ritterholz! Hochwertige und exclusive Ausstattung! Balkon, Duschbad, Parkett....",https://www.immobilienscout24.de/expose/115539563,570 €,180 €,in Nebenkosten enthalten,750 €,3x Kaltmiete,0 von 2,55 m²,2,1,1,,,1938,zuletzt 2016,Neuwertig,Zentralheizung,Gas,liegt zur Besichtigung vor,,,Forum Immobilien Lindenstr. 5 16548 Glienicke,"Christoph-Columbus-Straße 6a, 14089 Berlin, Kladow (Spandau)"
"Visit/Besichtig Mittwoch, 05.02.20 um 8:30 Uhr- 3 Zi. Wohng. 2 Balkone, 3. OG, Aufzug, HTW-Nähe",https://www.immobilienscout24.de/expose/115539568,"692,81 €",105 €,90 €,"887,81 €","2078,43",3 von 7,"82,02 m²",3,1,1,True,,1994,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,accept Gebäudemanagement GmbH Weserstr. 15 10247 Berlin,"Klarastraße 9, 12459 Berlin, Oberschöneweide (Köpenick)"
++Grundsolide 3-Zimmer EG-Wohnung Nahe S-Bahhof Stresow++,https://www.immobilienscout24.de/expose/115539549,548 €,199 €,in Nebenkosten enthalten,747 €,"1.644,00 EUR",0,78 m²,3,1,,,,1908,,Gepflegt,Zentralheizung,Gas,,Verbrauchsausweis,113 kWh/(m²*a),domega immobilien & marketing gmbh Bundesallee 66 12161 Berlin,"Schürstraße 13, 13597 Berlin, Spandau (Spandau)"
"möblierte 1-Zimwhg. mit Wlan, TV, Küche, Dusche/WC, ab 1 Monat",https://www.immobilienscout24.de/expose/115545939,590 €,0 €,inkl. 0 €,590 €,450,,18 m²,1,1,1,,True,,,Gepflegt,Zentralheizung,,liegt zur Besichtigung vor,,,Urbanbnb Romanshorner Strasse 44a 8280 Kreuzlingen,"Strasse 150 0, 13053 Berlin-Lichtenberg, Alt-Hohenschönhausen (Hohenschönhausen)"
Modernisierte Singelwohnung,https://www.immobilienscout24.de/expose/115532643,"353,71 €","110,98 €","inkl. 33,66 €","464,69 €","Kaution: 1.061,00 EUR",1,"33,63 m²",1,,,True,,1970,,Erstbezug nach Sanierung,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Mercatorweg 3, 12207 Berlin, Lichterfelde (Steglitz)"
Im Herzen Schönebergs zuhause 3 Zimmer Mietwohnung mit Balkon und TG Stellplatz,https://www.immobilienscout24.de/expose/115526156,"1.989,90 €","351,75 €",in Nebenkosten enthalten,"2.341,65 €",3 Nettokaltmieten,4 von 5,"100,5 m²",3,2,2,True,True,2016,zuletzt 2020,,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,Basis AG Immobilienberatung Kurfürstendamm 220 10719 Berlin,"10777 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Wir renovieren gerade für Sie!,https://www.immobilienscout24.de/expose/115526503,"671,42 €","127,90 €",nicht in Nebenkosten enthalten,"799,32 € (zzgl. Heizkosten)","Kaution: 2.014,00 EUR",4,"68,8 m²",3,,,,,1925,,Vollständig renoviert,Etagenheizung,Gas,,Bedarfsausweis,,Deutsche Wohnen Gruppe,"Trarbacher Str. 17, 13088 Berlin, Weißensee (Weißensee)"
Hier findet Ihre ganze Familie Platz! WBS erforderlich!,https://www.immobilienscout24.de/expose/115526510,"687,34 €","294,89 €","inkl. 80,91 €","982,23 €","Kaution: 2.062,00 EUR",3,"95,05 m²",4,,,,,1993,,Renovierungsbedürftig,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Pionierstr. 119, 13589 Berlin, Spandau (Spandau)"
Wohnung mit behindertengerechter Dusche,https://www.immobilienscout24.de/expose/115526515,"482,37 €","163,98 €","inkl. 44,67 €","646,35 €","Kaution: 1.447,00 EUR",4,"53,43 m²","1,5",,,True,,1964,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Pionierstr. 185, 13589 Berlin, Spandau (Spandau)"
Gemütlichkeit zu zweit!,https://www.immobilienscout24.de/expose/115526508,"543,88 €","265,06 €","inkl. 85,33 €","808,94 €","Kaution: 1.631,00 EUR",9,"68,65 m²",2,,,True,,1966,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Steigerwaldstr. 13, 13589 Berlin, Spandau (Spandau)"
"1.116 €, 68 m², 1,5 Zimmer",https://www.immobilienscout24.de/expose/115527459,1.116 €,keine Angabe,in Nebenkosten enthalten,1.400 € (zzgl. Nebenkosten),,,68 m²,"1,5",,,True,True,,,,,,,,,Hohenzollernstraße 29 80801 München,"Unter den Linden 74, 10117 Berlin, Mitte (Mitte)"
***LUXUS- SINGLE-APARTMENT IM ZWEITBEZUG NACH SANIERUNG MIT KLEINER HIGHLIGHTKÜCHE***,https://www.immobilienscout24.de/expose/115526840,450 €,110 €,in Nebenkosten enthalten,560 €,3 Nettokaltmieten,1 von 3,35 m²,1,,,,True,1963,,Vollständig renoviert,,Öl,liegt vor,Verbrauchsausweis,,GERMANIA LIEGENSCHAFTEN Inh. Miriam Muth Pariser Straße 59 10719 Berlin,"Pankower Allee 75a, 13409 Berlin, Reinickendorf (Reinickendorf)"
"1-Zimmer-Whg., WBS Pflicht, öffentl. Besichtigung am 05.02.2020 von 16:00 Uhr bis 17:00 Uhr",https://www.immobilienscout24.de/expose/115527511,"270,73 €","89,01 €","63,50 €","423,24 €","812,19",6 von 6,"40,46 m²",1,1,1,True,True,1977,,,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,Konjo Geschäftsbesorgungs und Treuhand GmbH und CO Verwaltungs KG Menzelstraße 17 14193 Berlin,"Zwinglistraße 30c, 10555 Berlin, Tiergarten (Tiergarten)"
"Helles 1-Zi. Apartm. in Moabit !!! inkl. Pantry-Kü., Du/WC, Loggia, Keller, Parkett, Aufzug !!!",https://www.immobilienscout24.de/expose/115528033,"732,24 €","36,12 €","55,92 €","824,28 €","2.196,72",4 von 5,"38,18 m²",1,,,True,True,,,Neuwertig,Zentralheizung,,liegt zur Besichtigung vor,,,Neue Real GmbH,"Birkenstraße 31, 10551 Berlin, Tiergarten (Tiergarten)"
"Exklusiver Terrassen-Kamin-Altbau in repräsentativer Dahlemer Villa, Pacelliallee, 1750€WM",https://www.immobilienscout24.de/expose/115529586,1.450 €,300 €,inkl. 150 €,1.750 €,3 Nettokaltmieten,1 von 3,"121,57 m²","2,5",1,1,,True,1935,,Vollständig renoviert,Zentralheizung,Öl,liegt vor,Bedarfsausweis,,Dipl.Kfm. Nenad Dimic Immobilien Kurfürstendamm 143 10709 Berlin,"Pacelliallee 7, 14195 Berlin, Dahlem (Zehlendorf)"
Wohnung bereits reserviert: bitte keine Anfragen mehr,https://www.immobilienscout24.de/expose/115528504,990 €,180 €,in Nebenkosten enthalten,1.170 €,3 Kaltmieten,,93 m²,3,,,,True,1900,zuletzt 2013,Saniert,,,,,,,"Brüderstraße 05, 12205 Berlin, Lichterfelde (Steglitz)"
"Wohnung mit balkon und blick auf dem Frankfurter Tor (voll möbliert, neue Küche)",https://www.immobilienscout24.de/expose/115529764,1.000 €,200 €,in Nebenkosten enthalten,1.200 €,Germany,4 von 5,68 m²,"2,5",,1,,True,unbekannt,,Vollständig renoviert,,,,,,,"Rigaerstr 100A, 10247 Berlin, Friedrichshain (Friedrichshain)"
Wir schaffen Ihre Traumwohnung!,https://www.immobilienscout24.de/expose/115528985,"505,51 €","155,10 €","inkl. 44,67 €","660,61 €","Kaution: 1.516,00 EUR",8,"56,4 m²",2,,,True,,1979,,Vollständig renoviert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Gensinger Str. 86, 10315 Berlin, Friedrichsfelde (Lichtenberg)"
Hier entsteht ein neues Schmuckstück!,https://www.immobilienscout24.de/expose/115530456,"861,29 €","292,96 €","inkl. 117,72 €","1.154,25 €","Kaution: 2.508,00 EUR",0,"80,46 m²","2,2",,,,,1998,,Modernisiert,,,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Lüdeckestr. 4, 12249 Berlin, Lankwitz (Steglitz)"
Seniorenwohnung allein oder zu zweit!,https://www.immobilienscout24.de/expose/115530451,"477,42 €","238,18 €","inkl. 76,68 €","715,60 €","Kaution: 1.432,00 EUR",16,"61,69 m²",2,,,True,,1965,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Westerwaldstr. 1, 13589 Berlin, Spandau (Spandau)"
Übersichtliche Einraumwohnung zum Altwerden!,https://www.immobilienscout24.de/expose/115530447,"446,08 €","202,78 €","inkl. 65,28 €","648,86 €","Kaution: 1.338,00 EUR",13,"52,52 m²",1,,,True,,1965,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Westerwaldstr. 1, 13589 Berlin, Spandau (Spandau)"
Wir modernisieren für Sie!,https://www.immobilienscout24.de/expose/115531943,"532,38 €","167,40 €","inkl. 70,45 €","699,78 €","Kaution: 1.597,00 EUR",3,"51,24 m²",2,,,,,1948,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,119 kWh/(m²*a),Deutsche Wohnen Gruppe,"Goeckestr. 8, 13055 Berlin, Alt-Hohenschönhausen (Hohenschönhausen)"
Erstbezug nach Modernisierung!,https://www.immobilienscout24.de/expose/115532636,"580,92 €","162,10 €","inkl. 44,10 €","743,02 €","Kaution: 1.742,00 EUR",2,"54,18 m²",2,,,True,,1961,,Erstbezug nach Sanierung,Gas-Heizung,Gas,,Bedarfsausweis,,Deutsche Wohnen Gruppe,"Andreezeile 1, 14165 Berlin, Zehlendorf (Zehlendorf)"
Über den Dächern Berlins,https://www.immobilienscout24.de/expose/115532642,"513,90 €","216,37 €","inkl. 64,91 €","730,27 €","Kaution: 1.541,00 EUR",15,"65,57 m²",2,,,True,,1970,,Erstbezug nach Sanierung,Fernwärme,Fernwärme,,Verbrauchsausweis,"117,9 kWh/(m²*a)",Deutsche Wohnen Gruppe,"Osdorfer Str. 48, 12207 Berlin, Lichterfelde (Steglitz)"
"""Wohnen am Aalemannufer"" Maisonettenwohnung, max.5 Personen,",https://www.immobilienscout24.de/expose/115546104,979 €,299 €,in Nebenkosten enthalten,1.278 €,3 Nettokaltmieten,0 von 4,"108,76 m²",4,3,1,,True,1995,,Vollständig renoviert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,"135,3 kWh/(m²*a)",TEMA Terrain Geschäftsführung GmbH Vermietungsbüro: Seylerstr. 3 14109 Berlin,"Am Teufelsbruch 17, 13587 Berlin, Spandau (Spandau)"
Wasserlage - Großzügige 3 Zimmer am Langen See WE 04,https://www.immobilienscout24.de/expose/115525741,1.360 €,250 €,in Nebenkosten enthalten,1.530 €,"4.830,00",1 von 3,"94,61 m²",3,2,2,True,True,1998,,Gepflegt,Fußbodenheizung,Gas,liegt vor,Verbrauchsausweis,,Michael Grunow Regattastraße 100 12527 Berlin,"12557 Berlin, Köpenick (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
NEW / Neubau Nähe Checkpoint Charlie - CHARLIE LIVING,https://www.immobilienscout24.de/expose/115513337,"1.559,62 €","157,22 €","78,61 €","1.795,45 €",3 Kaltmieten,6 von 7,"78,61 m²",3,2,2,True,True,2018,,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Trockland Management GmbH Hauptstraße 27 10827 Berlin,"Zimmerstraße 92, 10969 Berlin-Mitte, Mitte (Mitte)"
Dachgeschoßwohnung in sehr ruhiger Lage mit Grünblick,https://www.immobilienscout24.de/expose/115509867,800 €,185 €,65 €,1.050 €,2.400,2 von 2,"83,5 m²",2,1,1,,True,1960,,Vollständig renoviert,Zentralheizung,Öl,liegt vor,Bedarfsausweis,,Hausverwaltung Hildebrandt Walterstr. 26 12051 Berlin,"Karlstr. 12a, 12307 Berlin, Lichtenrade (Tempelhof)"
"Dachgeschosswohnung im sanierten Altbau! 3 Zimmer, Bad, Küche und große Terrasse (VH DG links)",https://www.immobilienscout24.de/expose/115514645,"1.164,02 €",140 €,0 €,"1.304,02 €","3492,06",4 von 4,"105,82 m²",3,2,1,,True,1896,,Saniert,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,122 kWh/(m²*a),LI.VE Immobilien Knesebeckstr. 98 a 10623 Berlin,"Adamstraße 49, 13595 Berlin, Spandau (Spandau)"
Barrierefreie 1-Zimmer-Wohnung in Schmargendorf,https://www.immobilienscout24.de/expose/115515072,549 €,147 €,137 €,833 €,"1.548,00 EUR",0 von 4,"45,75 m²","1,5",1,1,,True,1975,,Vollständig renoviert,Zentralheizung,Öl,liegt vor,Bedarfsausweis,,Zebitz & Heyden Real Estate GmbH Hubertusstraße 12-13 12163 Berlin,"Weinheimer Straße 2, 14199 Berlin, Schmargendorf (Wilmersdorf)"
"1.200 €, 37 m², 1 Zimmer",https://www.immobilienscout24.de/expose/115515888,1.200 €,keine Angabe,nicht in Nebenkosten enthalten,1.500 € (zzgl. Nebenkosten & Heizkosten),,,37 m²,1,,,,True,,,,,,,,,,"10405 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
2-Zimmer-Wohnung im ruhigen Adlershof (Unmöbliert),https://www.immobilienscout24.de/expose/115516512,"646,37 €",164 €,in Nebenkosten enthalten,"810,37 €",3 Monatsmieten,0 von 4,"71,58 m²",2,,1,,True,,,,,,,,,,"Waldstr. 2, 12489 Berlin, Adlershof (Treptow)"
"Attraktive Maisonette Wohnung mit ""Haus in Haus"" Charakter!",https://www.immobilienscout24.de/expose/115519624,1.370 €,200 €,keine Angabe,1.570 € (zzgl. Heizkosten),,,120 m²,3,2,1,,,1972,,Gepflegt,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,"Sawall Immobilien EuropaCenter, Tauentzienstr. 11 10789 Berlin","12247 Berlin / Lankwitz, Lankwitz (Steglitz) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Traumhafte Wohnung in einer Stadtvilla in Buckow mit TG und Wellnessbereich,https://www.immobilienscout24.de/expose/115519026,415 €,157 €,in Nebenkosten enthalten,572 €,1245 Euro,1 von 3,43 m²,1,,1,True,True,1996,,Gepflegt,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,"98,7 kWh/(m²*a)",,"Kestenzeile 24, 12349 Berlin, Buckow (Neukölln)"
Wohnung mit ebenerdigen Zugang und Wintergarten!,https://www.immobilienscout24.de/expose/115517891,699 €,172 €,inkl. 85 €,871 €,"Kaution: 2.097,00 EUR",0,"61,87 m²",2,,,,True,1996,,Modernisiert,Fernwärme,Fernwärme,,Verbrauchsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Pfannschmidtstr. 69, 13125 Berlin, Karow (Weißensee)"
3 Zimmer Wohnung im Herzen Tegels.,https://www.immobilienscout24.de/expose/115519785,"412,12 €",118 €,62 €,"592,12 €",1236.36,,"63,5 m²","3,5",,,,,1954,,,Zentralheizung,"Fernwärme, Strom",,Bedarfsausweis,,Vonovia SE . Postfach 44784 Bochum,"Illerzeile 15, 13509 Berlin, Tegel (Reinickendorf)"
Erstbezug nach Sanierung - Singles aufgepasst!,https://www.immobilienscout24.de/expose/115521461,"270,76 €","99,31 €","inkl. 29,40 €","370,07 €","Kaution: 812,00 EUR",9,"29,7 m²",1,,,,,1980,,Erstbezug nach Sanierung,,Fernwärme,,Verbrauchsausweis,155 kWh/(m²*a),Deutsche Wohnen Gruppe,"Bärensteinstr. 44, 12685 Berlin, Marzahn (Marzahn)"
Wohnen ab 50 Jahre....,https://www.immobilienscout24.de/expose/115521464,334 €,"136,56 €","inkl. 42,24 €","470,56 €","Kaution: 1.002,00 EUR",5,"37,28 m²",1,,,True,,1983,,,Fernwärme,Fernwärme,,Verbrauchsausweis,114 kWh/(m²*a),Deutsche Wohnen Gruppe,"Blumberger Damm 4, 12683 Berlin, Biesdorf (Marzahn)"
=FURNISHED SINGLE-APARTMENT= Möblierte Single-Wohnung zwischen Alexander Platz und Oberbaumbrücke,https://www.immobilienscout24.de/expose/115522021,685 €,110 €,in Nebenkosten enthalten,795 €,1590,,38 m²,1,,,,True,1900,,Gepflegt,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,165 kWh/(m²*a),egis24 immobilien e.K. Albestr.26 12159 Berlin,"Hausburgstraße 5, 10249 Berlin, Friedrichshain (Friedrichshain)"
"2 Zimmer, Einbauküche und Balkon in Friedenau",https://www.immobilienscout24.de/expose/115523600,"808,25 €",70 €,inkl. 70 €,"948,25 €","2424,75 EUR",2 von 3,"56,08 m²",2,1,1,,True,1900,,Neuwertig,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,,Kahlo & Partner GmbH,"12159 Berlin, Friedenau (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
