Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Bezugsfrei ab,Zimmer,Schlafzimmer,Badezimmer,Balkon/ Terrasse,Baujahr,Objektzustand,Ausstattung,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Endenergiebedarf,Energieeffizienzklasse,Anbieter,Adreese
Exklusives Wohnen nahe Stölpchensee,https://www.immobilienscout24.de/expose/114880172,"910,20 €","151,70 €",in Nebenkosten enthalten,"1.061,90 €","1800,00 €",0 von 2,"60,68 m²",sofort,2,1,1,True,2020,Neuwertig,Gehobene Qualität,Fußbodenheizung,Gas,liegt zur Besichtigung vor,,,,v.S.Management GmbH,"Schäferstraße 31, 14109 Berlin-Wannsee, Wannsee (Zehlendorf)"
"Exklusive 3-Zimmer-Wohnung mit Einbauküche, Geschirrspüler und Balkon in Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/115663645,1.345 €,309 €,in Nebenkosten enthalten,1.654 €,Germany,5 von 6,"79,13 m²",01.03.2020,3,,2,True,,,,Fußbodenheizung,,,,,,,"Dovestrasse 3c, 10587 Berlin, Charlottenburg (Charlottenburg)"
Traumhaft lichtdurchflutete Dachterrassen-Wohnung in Schmargendorf,https://www.immobilienscout24.de/expose/115802387,1.154 €,205 €,in Nebenkosten enthalten,1.359 €,3 Nettokaltmieten,5 von 5,77 m²,01.03.2020,2,,1,True,1903,Vollständig renoviert,Gehobene Qualität,Gas-Heizung,Erdgas leicht,liegt vor,Verbrauchsausweis,,E,,"Binger Straße 86a, 14197 Berlin, Wilmersdorf (Wilmersdorf)"
"Erstbezug: Hochwertig komplett möbliert und ausgestattetes 2 Zimmer Apartment, direkt an der Spree.",https://www.immobilienscout24.de/expose/115666092,1.080 €,250 €,in Nebenkosten enthalten,1.330 €,3 Kaltmieten,4 von 6,38 m²,06.02.2020,2,,1,,2019,Erstbezug,Luxus,Fußbodenheizung,Fernwärme,liegt vor,,,,,"Stralauerallee 13a, 10245 Berlin, Friedrichshain (Friedrichshain)"
"Dachgeschoss, ruhig, rundum Grün, Südausrichtung, Erstbezug",https://www.immobilienscout24.de/expose/114762864,"1.745,50 €",300 €,in Nebenkosten enthalten,"2.045,50 €",3 Nettokaltmieten,4 von 4,130 m²,ab sofort,4,,2,True,2019,Erstbezug,Gehobene Qualität,,,liegt zur Besichtigung vor,,,,,"Piesporter Str. 61, 13088 Berlin-Weißensee, Weißensee (Weißensee)"
"745 €, 68 m², 2,5 Zimmer",https://www.immobilienscout24.de/expose/115667595,745 €,75 €,nicht in Nebenkosten enthalten,845 € (zzgl. Heizkosten),2NKM,,68 m²,01.04.2020,"2,5",1,1,,1997,Gepflegt,Normale Qualität,Gas-Heizung,"Gas, Strom",,,,,,"10318 Berlin, Karlshorst (Lichtenberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Erstbezug nur teilgewerblich oder vollgewerblich nutzbare 5 -Zimmer-Remise,https://www.immobilienscout24.de/expose/115668960,1.680 €,200 €,nicht in Nebenkosten enthalten,1.880 € (zzgl. Heizkosten),3 Monats Kaltmieten,0 von 1,"139,07 m²",sofort,5,2,1,,1925,Erstbezug nach Sanierung,Gehobene Qualität,Gas-Heizung,Erdgas leicht,liegt vor,Verbrauchsausweis,,,BeKap GmbH Wendenweg 3 13595 Berlin,"Dietzgenstraße 79, 13156 Berlin, Niederschönhausen (Pankow)"
Erstbezug mit Einbauküche: stilvolle 2-Zimmer-EG-Wohnung in Berlin-Mahlsdorf,https://www.immobilienscout24.de/expose/115806900,860 €,180 €,in Nebenkosten enthalten,1.040 €,"2.580,00",0 von 3,66 m²,01.08.2020,2,,1,,2020,Erstbezug,Gehobene Qualität,Wärmepumpe,Gas,liegt vor,Bedarfsausweis,22 kWh/(m²*a),A+,,"12623 Berlin-Mahlsdorf, Mahlsdorf (Hellersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Erstbezug: attraktive 3-Zimmer-Wohnung mit Einbauküche in Mahlsdorf (Hellersdorf), Berlin",https://www.immobilienscout24.de/expose/115805250,1.060 €,220 €,in Nebenkosten enthalten,1.280 €,"3.180,00",1 von 3,77 m²,01.08.2020,3,,1,,2020,Erstbezug,Gehobene Qualität,Wärmepumpe,Gas,liegt vor,Bedarfsausweis,22 kWh/(m²*a),A+,,"12623 Berlin, Mahlsdorf (Hellersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Erstbezug mit EBK: exklusive 3-Zimmer-Wohnung in Berlin-Mahlsdorf,https://www.immobilienscout24.de/expose/115807744,1.060 €,220 €,in Nebenkosten enthalten,1.060 €,"3.180,00",2 von 3,77 m²,01.08.2020,3,,1,,2020,Erstbezug,Gehobene Qualität,Wärmepumpe,Gas,liegt vor,Bedarfsausweis,22 kWh/(m²*a),A+,,"12623 Berlin-Mahlsdorf, Mahlsdorf (Hellersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Erstbezug: exklusive 2-Zimmer-Wohnung mit Einbauküche in Berlin-Mahlsdorf,https://www.immobilienscout24.de/expose/115808065,860 €,180 €,in Nebenkosten enthalten,1.040 €,"2.580,00",1 von 3,62 m²,01.08.2020,2,,1,,2020,Erstbezug,Gehobene Qualität,Wärmepumpe,Gas,,,,,,"12623 Berlin-Mahlsdorf, Mahlsdorf (Hellersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Schöne geräumige 2,5-Zimmer-DG-Wohnung mit 2 Balkonen und EBK",https://www.immobilienscout24.de/expose/115258009,1.050 €,240 €,in Nebenkosten enthalten,1.290 €,3150,2 von 2,95 m²,01.02.2020,"2,5",,1,True,1996,Gepflegt,Gehobene Qualität,Zentralheizung,Gas,liegt zur Besichtigung vor,,,,,"An Der Vogelweide 10, 13158 Berlin, Rosenthal (Pankow)"
"TOP-LAGE! 2-Zimmer-Wohnung mit Balkon und Einbauküche in Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/115672044,720 €,120 €,in Nebenkosten enthalten,840 €,"2.160,00 €",1 von 4,64 m²,01.04.2020,2,,1,True,1954,Gepflegt,Normale Qualität,Zentralheizung,Fernwärme,liegt zur Besichtigung vor,,,,,"Zillestraße 74/76, 10585 Berlin, Charlottenburg (Charlottenburg)"
Erstbezug: exklusive 1-Zimmer-Wohnung in Berlin-Spandau mit bester Verkehrsanbindung,https://www.immobilienscout24.de/expose/115658352,494 €,121 €,in Nebenkosten enthalten,615 €,1482,1 von 5,"29,07 m²",15.02.2020,1,,1,True,2018,Erstbezug,Gehobene Qualität,Fußbodenheizung,Erdwärme,liegt vor,Bedarfsausweis,"19,4 kWh/(m²*a)",,,"Altstädter Ring 15, 13597 Berlin-Spandau, Spandau (Spandau)"
Wohnen im Weddinger Kiez nahe Park Rehberge,https://www.immobilienscout24.de/expose/115648715,356 €,60 €,nicht in Nebenkosten enthalten,416 € (zzgl. Heizkosten),"1068,00",4 von 4,"41,9 m²",01.10.2019,1,1,1,,1906,Gepflegt,Normale Qualität,Etagenheizung,Gas,liegt vor,Bedarfsausweis,138 kWh/(m²*a),,,"Kameruner Straße 11, 13351 Berlin, Wedding (Wedding)"
Light-filled Apartment with terrace and views - Volkspark Friedrichshain - Fully Furnished,https://www.immobilienscout24.de/expose/115647082,1.990 €,600 €,in Nebenkosten enthalten,2.590 €,6300,5 von 6,93 m²,sofort,3,2,2,True,2014,Neuwertig,,Fußbodenheizung,Fernwärme,,,,,Make it Berlin 10713 BERLIN,"Pufendorfstrasse 7A, 10249 Berlin, Friedrichshain (Friedrichshain)"
Potsdamer Platz - Wohnen im HIGH PARK,https://www.immobilienscout24.de/expose/106898543,1.200 €,150 €,150 €,1.500 €,3 Nettokaltmieten,9 von 13,"57,7 m²",sofort,2,1,1,True,2018,Gepflegt,Gehobene Qualität,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,59 kWh/(m²*a),,Capitalis Property Management GmbH Friedrichstr. 76 10117 Berlin,"Gabriele-Tergit-Promenade 21, 10963 Berlin, Tiergarten (Tiergarten)"
Hochwertige 2-Zimmer-Wohnung mit Balkon,https://www.immobilienscout24.de/expose/115434001,754 €,85 €,inkl. 39 €,878 €,3 Nettokaltmieten,2 von 4,58 m²,01.03.2020,2,1,1,True,unbekannt,Saniert,Gehobene Qualität,Zentralheizung,Gas,liegt vor,Bedarfsausweis,60 kWh/(m²*a),,Jens-Uwe Knott Geneststraße 5 10829 Berlin,"Heidekampweg 4, 12437 Berlin, Baumschulenweg (Treptow)"
Gepflegte 1 Zimmer Wohnung im Zentrum von Berlin,https://www.immobilienscout24.de/expose/115650450,560 €,150 €,in Nebenkosten enthalten,710 €,1680,2 von 5,40 m²,01.03.2020,1,1,1,True,1955,Gepflegt,Normale Qualität,Fernwärme,Fernwärme,,,,,Rex - Grundstücks GmbH,"Georg-Wilhelm-Straße 2, 10711 Berlin, Wilmersdorf (Wilmersdorf)"
"1.680 €, 75 m², 2 Zimmer",https://www.immobilienscout24.de/expose/107064753,1.680 €,280 €,keine Angabe,1.960 € (zzgl. Heizkosten),8000,,75 m²,01.03.2020,2,,1,True,2019,Erstbezug,Gehobene Qualität,Fußbodenheizung,Fernwärme,liegt vor,,,,,"Geisbergstraße 6, 10777 Berlin, Schöneberg (Schöneberg)"
Familienglück in Wohlfühlwohnung mit charmanten Grundriss -zentrale Ruhiglage,https://www.immobilienscout24.de/expose/115539881,1.540 €,215 €,nicht in Nebenkosten enthalten,1.755 € (zzgl. Heizkosten),4620,1 von 2,118 m²,sofort,5,4,1,True,1936,Saniert,,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,,,Ilsensteinweg 6 14129 Berlin,"Andornsteig 3, 13503 Berlin, Heiligensee (Reinickendorf)"
"Exklusive, geräumige 3-Zimmer-DG-Wohnung mit Balkon und Einbauküche, Berlin",https://www.immobilienscout24.de/expose/115652422,"2.195,66 €","489,60 €",in Nebenkosten enthalten,"2.685,26 €","6.586,98‬",5 von 5,137 m²,15.03.2020,3,,2,True,,,,Etagenheizung,,,,,,,"Bleibtreustr 5A, 10623 Berlin, Charlottenburg (Charlottenburg)"
"Süße Dachgeschosswohnung in bevorzugter Wohnlage Westend, dicht Steubenplatz",https://www.immobilienscout24.de/expose/115782243,759 €,106 €,80 €,945 €,"2277,00",,76 m²,ab sofort bzw. nach Vereinbarung,2,,,,,Vollständig renoviert,Normale Qualität,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,,Königstadt Brack GmbH Kurfürstendamm 33 10719 Berlin,"Preußenallee 35 a, 14052 Berlin, Charlottenburg (Charlottenburg)"
"DG-Loft am Lietzensee-Park mit Wasserzugang, in einem der schönsten Häuser Charlottenburgs",https://www.immobilienscout24.de/expose/115511756,2.294 €,360 €,in Nebenkosten enthalten,2.654 €,3 NKM,5 von 5,124 m²,01.03.2020,3,,2,True,1913,Erstbezug nach Sanierung,Luxus,Zentralheizung,Gas,laut Gesetz nicht erforderlich,,,,,"Dernburgstraße 4, 14057 Berlin, Charlottenburg (Charlottenburg)"
Penthouse mit Dachterrasse und Balkon im Gleis Park,https://www.immobilienscout24.de/expose/115130234,3.025 €,450 €,in Nebenkosten enthalten,3.475 €,9.075,5 von 5,"126,06 m²",01.04.2020,3,2,,True,2019,Erstbezug,Gehobene Qualität,Zentralheizung,Fernwärme,liegt zur Besichtigung vor,,,,Bauwens Asset Management GmbH & Co. KG Holzmarkt 1 50676 Köln,"Schöneberger Ufer 5a, 10785 Berlin, Kreuzberg (Kreuzberg)"
Penthouse Maisonette mit Balkon und Dachterrasse im Gleis Park,https://www.immobilienscout24.de/expose/115215272,4.274 €,610 €,in Nebenkosten enthalten,4.884 €,"12.822,00",5 von 5,"178,08 m²",01.04.2020,4,3,2,True,2019,Erstbezug,Gehobene Qualität,Zentralheizung,Fernwärme,liegt zur Besichtigung vor,,,,Bauwens Asset Management GmbH & Co. KG Holzmarkt 1 50676 Köln,"Schöneberger Ufer 5a, 10785 Berlin, Kreuzberg (Kreuzberg)"
Lichtdurchflutete Penthouse-Wohnung in Wilmersdorf,https://www.immobilienscout24.de/expose/112811422,3.600 €,570 €,in Nebenkosten enthalten,4.170 €,nach Absprache,6 von 6,190 m²,01.11.2019,4,2,1,True,2012,Neuwertig,Gehobene Qualität,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,"114,1 kWh/(m²*a)",,Artus Wohnungsunternehmen GmbH & Co. KG Fasanenstrasse 47 10719 Berlin,"Fasanenstraße 49, 10719 Berlin, Wilmersdorf (Wilmersdorf)"
Penthouse Maisonette mit Balkon und Dachterrasse im Gleis Park,https://www.immobilienscout24.de/expose/115215599,2.480 €,380 €,in Nebenkosten enthalten,2.860 €,"7.440,00 €",5 von 5,"103,35 m²",01.04.2020,3,2,2,True,2019,Erstbezug,Gehobene Qualität,Zentralheizung,Fernwärme,liegt zur Besichtigung vor,,,,Bauwens Asset Management GmbH & Co. KG Holzmarkt 1 50676 Köln,"Schöneberger Ufer 5a, 10785 Berlin, Kreuzberg (Kreuzberg)"
**Wohnen im Park - Nähe Campus Buch** 2-Zimmer-Wohnung mit EBK in Buch (Pankow),https://www.immobilienscout24.de/expose/115784315,560 €,230 €,in Nebenkosten enthalten,790 €,1680,2 von 3,70 m²,01.04.2020,2,,1,,1909,Saniert,Gehobene Qualität,Zentralheizung,Gas,liegt vor,Bedarfsausweis,"137,6 kWh/(m²*a)",,,"13125 Berlin, Buch (Pankow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Potsdamer Platz 2-Zimmer Apartment mit Einbauküche und Balkon,https://www.immobilienscout24.de/expose/115613873,1.060 €,230 €,in Nebenkosten enthalten,1.290 €,2880,10 von 11,44 m²,sofort,2,1,1,True,2019,Erstbezug,Luxus,Fußbodenheizung,Fernwärme,,,,,,"Gabriele-Tergit Promenade 21, 10963 Berlin, Tiergarten (Tiergarten)"
"Repräsentativer Dachgeschoss-Neubau, 4 Zimmer, 3 Terrassen, 2 Bäder, Aufzug, Prenzlauer Berg/Pankow",https://www.immobilienscout24.de/expose/115312792,2.700 €,270 €,180 €,3.150 €,8100,5 von 5,198 m²,01.02.2020,4,3,2,True,2019,Erstbezug,Gehobene Qualität,Zentralheizung,KWK fossil,,,,,Renate Nikolay Immobilien u. Finanzdienstleistungen,"Thulestr. 9, 13189 Berlin, Pankow (Pankow)"
möblierte helle Dachgeschosswohnung,https://www.immobilienscout24.de/expose/112931602,686 €,94 €,nicht in Nebenkosten enthalten,780 € (zzgl. Heizkosten),"2415,00",4 von 4,70 m²,sofort,2,1,1,,1900,,Normale Qualität,Nachtspeicheröfen,,liegt vor,Verbrauchsausweis,,,HC&C Hotel- u. Hauscontrolling & Consulting GmbH,"Residenzstraße 2, 13409 Berlin, Reinickendorf (Reinickendorf)"
2 Zimmer Wilmersdorf/Friedenau 14197 Berlin Bergheimer Str.,https://www.immobilienscout24.de/expose/115630222,695 €,150 €,in Nebenkosten enthalten,845 €,"2085,00",,"68,34 m²",01.04.2020,2,,1,,unbekannt,Saniert,Gehobene Qualität,Etagenheizung,Öl,laut Gesetz nicht erforderlich,,,,,"14197 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"1.850 €, 90 m², 3 Zimmer",https://www.immobilienscout24.de/expose/115182628,1.850 €,keine Angabe,nicht in Nebenkosten enthalten,2.100 € (zzgl. Nebenkosten & Heizkosten),,,90 m²,,3,,,True,,,,,,,,,,,"Brandenburgische Straße 53, 10707 Berlin, Wilmersdorf (Wilmersdorf)"
"Altbauwohnung mit Stuckdecken/Parkett, teilmöbliert, langfristig zu vermieten",https://www.immobilienscout24.de/expose/86185974,2.390 €,300 €,in Nebenkosten enthalten,2.690 €,,1 von 6,160 m²,1.01.2017,5,,2,True,1914,Saniert,Gehobene Qualität,Fernwärme,Fernwärme,,,,,,"12203 Berlin, Lichterfelde (Steglitz) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Befristete 2-Zimmerwohnung nahe Humboldthain (befristet bis 15.12.2020),https://www.immobilienscout24.de/expose/115759150,"460,60 €",135 €,in Nebenkosten enthalten,"595,60 €",3 Nettokaltmieten,1 von 1,47 m²,15.02.2020,2,1,1,,,Vollständig renoviert,Einfache Qualität,,,,,,,Rund Um,"Hochstraße 46, 13357 Berlin, Wedding (Wedding)"
"Freundliche, gepflegte 1-Zimmer-Wohnung in Wedding, Berlin",https://www.immobilienscout24.de/expose/115757940,215 €,35 €,nicht in Nebenkosten enthalten,250 € (zzgl. Heizkosten),645,3 von 5,25 m²,ab sofort,1,,1,,1890,Gepflegt,Normale Qualität,Etagenheizung,Gas,liegt zur Besichtigung vor,,,,,"Hochstraße 43, 13357 Berlin, Wedding (Wedding)"
"Erstbezug: Exklusive, geräumige 2-Zimmer-Wohnung mit West-Balkon in Lichtenberg, Berlin",https://www.immobilienscout24.de/expose/115523247,1.080 €,215 €,in Nebenkosten enthalten,1.295 €,3 Netto Kaltmieten,1 von 4,75 m²,ab sofort,2,,2,True,2020,Erstbezug,Gehobene Qualität,,,liegt vor,Bedarfsausweis,"60,7 kWh/(m²*a)",B,,"Im Lichtenhain 4, 10317 Berlin, Lichtenberg (Lichtenberg)"
Erstbezug - Dachgeschoss am Savignyplatz,https://www.immobilienscout24.de/expose/115516714,3.150 €,250 €,inkl. 200 €,3.600 €,2 Nettokaltmieten,5 von 4,175 m²,01.03.2020,3,1,1,True,2019,Erstbezug,Gehobene Qualität,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,"85,7 kWh/(m²*a)",,Nadja Maercklin Immobilien Spanische Allee 19 14129 Berlin,"10623 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Exclusive Dachgeschoß-Wohnung in Berlin-Grunewald (Schmargendorf),https://www.immobilienscout24.de/expose/110359642,3.640 €,500 €,in Nebenkosten enthalten,4.140 €,3 Monats-Kaltmieten,,260 m²,ab sofort,5,,2,True,,Neuwertig,Luxus,Wärmepumpe,Erdwärme,liegt zur Besichtigung vor,,,,Peter und Christine Greffin GbR,"Hubertusallee 76, 14193 Berlin, Grunewald (Wilmersdorf)"
Möblierte 3 Zimmer Altbau Wohnung Prenzlauer Berg,https://www.immobilienscout24.de/expose/115421577,1.700 €,200 €,in Nebenkosten enthalten,1.900 €,Deutschland,3 von 5,83 m²,,3,,1,True,1910,Saniert,Gehobene Qualität,Zentralheizung,Fernwärme,laut Gesetz nicht erforderlich,,,,,"10439 berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Gepflegte 2-Zimmer-Wohnung mit Balkon in Neukölln, Berlin",https://www.immobilienscout24.de/expose/115637053,"374,50 €",255 €,in Nebenkosten enthalten,"629,50 €","1123,50",3 von 3,51 m²,ab sofort,2,,1,True,1974,Gepflegt,Normale Qualität,Öl-Heizung,Öl,liegt zur Besichtigung vor,,,,,"Herrnhuter Weg 14, 12043 Berlin, Neukölln (Neukölln)"
Erstbezug: helle und moderne 3-Zimmer-Wohnung mit Balkon,https://www.immobilienscout24.de/expose/115704960,1.300 €,300 €,in Nebenkosten enthalten,1.600 €,3900 €,1 von 1,"81,89 m²",01.03.2020,3,,1,True,2020,Erstbezug,Gehobene Qualität,Fußbodenheizung,Fernwärme,liegt vor,,,,,"Bouchéstraße 38, 12435 Berlin, Treptow (Treptow)"
"Ruhige 2-Zimmer-Wohnung mit EBK in Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/115071019,664 €,160 €,in Nebenkosten enthalten,824 €,1902,3 von 3,59 m²,07.01.2020,2,,1,,,,,Zentralheizung,,,,,,,"10249 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Erstbezug im Neubau-Zentrale Lage,nahe Hbf. Helle, moderne 2 Zi. Whg. mit EBK, Balkon, Gartenanlage.",https://www.immobilienscout24.de/expose/113870806,1.252 €,238 €,in Nebenkosten enthalten,1.490 €,3756,3 von 5,"64,14 m²",01.12.2019,2,,1,True,2019,Erstbezug,Gehobene Qualität,Fußbodenheizung,Fernwärme,liegt zur Besichtigung vor,,,,,"Lehrter Straße 23d, 10557 Berlin, Tiergarten (Tiergarten)"
"Kleine, sanierte und modernisierte 1-Zimmerwohnung am Bayerischer Platz",https://www.immobilienscout24.de/expose/111258435,468 €,91 €,inkl. 15 €,559 €,3 Nettokaltmieten,3 von 5,30 m²,sofort,1,1,1,True,1958,Erstbezug nach Sanierung,Gehobene Qualität,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,,Rund Um,"Berchtesgadener Straße 13, 10825 Berlin, Schöneberg (Schöneberg)"
Neuwertige 3-Zimmer-Wohnung mit Balkon und EBK nahe Rathaus Steglitz,https://www.immobilienscout24.de/expose/115642256,975 €,200 €,in Nebenkosten enthalten,1.175 €,"2925,00",2 von 4,"93,7 m²",01.03.2020,3,,1,True,1908,Neuwertig,Gehobene Qualität,Zentralheizung,Holzpellets,liegt vor,Bedarfsausweis,236 kWh/(m²*a),G,,"Birkbuschstraße 12, 12167 Berlin, Steglitz (Steglitz)"
"Gartenresidenz Charlottenburg: exklusive 3,5-Zimmer-Wohnung direkt am Schlosspark City West",https://www.immobilienscout24.de/expose/94731230,1.600 €,250 €,in Nebenkosten enthalten,1.850 €,3 Monatsmieten,2 von 4,97 m²,01.03.2020,"3,5",,2,True,1913,Modernisiert,Gehobene Qualität,Fernwärme,,liegt vor,Bedarfsausweis,"39,3 kWh/(m²*a)",,,"Sophie-Charlotten-Str. 115 B, 14059 Berlin, Charlottenburg (Charlottenburg)"
"Schöne zwei Zimmer Wohnung in Berlin, Reinickendorf",https://www.immobilienscout24.de/expose/115771928,720 €,80 €,nicht in Nebenkosten enthalten,800 € (zzgl. Heizkosten),3 Kaltmieten,0 von 1,60 m²,15.03.2020,2,,1,,unbekannt,Erstbezug nach Sanierung,Gehobene Qualität,Gas-Heizung,Erdgas leicht,liegt vor,Bedarfsausweis,"153,4 kWh/(m²*a)",E,,"13407 Berlin, Reinickendorf (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Schöne 2 Zimmer Altbauwohnung zentral in Köpenick,https://www.immobilienscout24.de/expose/80693403,750 €,150 €,inkl. 75 €,850 €,"2250,00",2 von 4,69 m²,sofort,2,2,1,,1919,,,Zentralheizung,Gas,,,,,Linienstr. 165 10115 Berlin,"Seelenbinderstr. 49, 12555 Berlin Kopenick, Köpenick (Köpenick)"
"Stilvolle, gepflegte 1-Zimmer-Hochparterre-Wohnung voll möbliert in Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/103018689,720 €,0 €,in Nebenkosten enthalten,720 €,750,0 von 1,34 m²,ab sofort,1,,1,,1938,Gepflegt,Gehobene Qualität,Öl-Heizung,Öl,liegt vor,Bedarfsausweis,227 kWh/(m²*a),,,"Ebereschenallee 58, 14050 Berlin, Charlottenburg (Charlottenburg)"
"Gepflegte 2-Zimmer-Wohnung mit Einbauküche in Weißensee, Berlin",https://www.immobilienscout24.de/expose/115428667,330 €,100 €,in Nebenkosten enthalten,430 €,1000,2 von 5,39 m²,ab sofort,2,,1,,1953,Gepflegt,Gehobene Qualität,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,B,,"Meyerbeerstraße 42, 13088 Berlin, Weißensee (Weißensee)"
Helle Maisonette Traumwohnung in Süd-Schöneberg zu vermieten,https://www.immobilienscout24.de/expose/92356819,1.962 €,350 €,in Nebenkosten enthalten,2.312 €,3 Monatskaltmieten oder Bankbürgschaft,3 von 3,157 m²,verhandelbar,5,,2,True,2016,Neuwertig,Gehobene Qualität,Blockheizkraftwerke,Gas,liegt zur Besichtigung vor,,,,,"Domnauer Straße 39a, 12105 Berlin, Schöneberg (Schöneberg)"
"Wohnen im Grünen -Drei Zimmer Wohnung in Berlin, Müggelheim (Köpenick)",https://www.immobilienscout24.de/expose/92285182,1.144 €,220 €,in Nebenkosten enthalten,1.364 €,"3432,00",0 von 1,"88,19 m²",01.04.2020,3,,1,True,2016,Vollständig renoviert,Gehobene Qualität,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,60 kWh/(m²*a),A,,"Hirseländerweg 110, 12559 Berlin, Müggelheim (Köpenick)"
2 Raum Wohnung an der Spree,https://www.immobilienscout24.de/expose/65109297,900 €,110 €,in Nebenkosten enthalten,1.010 €,3 Kaltmieten,2 von 5,68 m²,01.01.2020,2,1,1,True,,Saniert,Gehobene Qualität,Zentralheizung,Fernwärme,,,,,Rösler Hausverwaltung Sudermannstr. 62 12623 Berlin,"Rochowstraße 14, 10245 Berlin, Friedrichshain (Friedrichshain)"
Erstbezug 3 Zimmer im Obergeschoß mit separatem Eingang Süd Westlage,https://www.immobilienscout24.de/expose/111929165,1.010 €,150 €,in Nebenkosten enthalten,1.160 €,"3030,00",2 von 2,65 m²,01.04.2020,3,,1,True,2019,Neuwertig,Gehobene Qualität,Fußbodenheizung,Gas,liegt vor,,,,,"Militscher Weg 21, 12555 Berlin, Köpenick (Köpenick)"
Helles möbliertes 1-Zimmer Apartment für Studenten / bright furnished 1 room apartment for students,https://www.immobilienscout24.de/expose/115511258,548 €,158 €,in Nebenkosten enthalten,706 €,1644,,"26,11 m²",ab sofort,1,,,,,,,,,,,,,,"Jülicherstraße 16, 13357 Berlin, Wedding (Wedding)"
"3-Zimmer-Wohnung mit Balkon und Einbauküche in Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/111912296,1.400 €,200 €,in Nebenkosten enthalten,1.600 €,3500,3 von 5,90 m²,ab sofort,3,,1,True,1910,,,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,,,Altec Berlin GmbH,"Kantstraße 132, 10625 Berlin, Charlottenburg (Charlottenburg)"
Schöne 3.5-Zimmer-Wohnung in Wannsee ab 15.03. zu vermieten,https://www.immobilienscout24.de/expose/115735949,1.230 €,250 €,inkl. 0 €,1.480 €,"3.000,- EUR",2 von 3,118 m²,15.03.2020,"3,5",2,2,True,1958,Vollständig renoviert,Gehobene Qualität,Zentralheizung,Erdgas leicht,liegt vor,,,,,"Chausseestraße .2a, 14109 Berlin, Wannsee (Zehlendorf)"
"Schöne drei Zimmer Dachterassen Wohnung in Berlin, Wilhelmsruh",https://www.immobilienscout24.de/expose/115407350,652 €,220 €,nicht in Nebenkosten enthalten,872 € (zzgl. Heizkosten),1290,4 von 4,56 m²,01.03.2020,"2,5",,1,True,1980,Vollständig renoviert,Gehobene Qualität,,,laut Gesetz nicht erforderlich,,,,,"Lessingstrasse 25, 13158 Berlin, Rosenthal (Pankow)"
**TOP sanierte zwei-Zimmer Wohnung in Kreuzberg**,https://www.immobilienscout24.de/expose/114655453,1.785 €,150 €,keine Angabe,1.935 € (zzgl. Heizkosten),3 NKM,1,"89,23 m²",sofort,2,,,,,Erstbezug nach Sanierung,Normale Qualität,,,liegt vor,,,,Berlin Blau,"10961 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Sanierte 3-Zimmer-Wohnung mit Balkon in Marzahn, Berlin",https://www.immobilienscout24.de/expose/115619819,"651,20 €",210 €,in Nebenkosten enthalten,"861,20 €","1452,99",2 von 5,"81,4 m²",ab sofort,3,,1,True,1982,Saniert,Normale Qualität,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,B,,"Glambecker Ring 87, 12679 Berlin, Marzahn (Marzahn)"
