,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Kiez,Hausnummer,Ortsteil,Kaltmiete pro m²
1509,"830 €, 40 m², 1 Zimmer",https://www.immobilienscout24.de/expose/115590647,830.0,,,930.0,1743,,40.0,1,,,,True,,,,,,,,,,"10115 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10115 Berlin,Mitte (Mitte),,Mitte,20.75
1510,"Exklusive 3-Zimmer-Wohnung mit Balkon und Einbauküche in Mitte, Berlin",https://www.immobilienscout24.de/expose/115590692,1100.0,230.0,0.0,1330.0,1500,14 von 20,65.0,3,,1.0,True,True,,,,,,,,,,"Holzmarkstrasse 75, 10179 Berlin, Mitte (Mitte)",Holzmarkstrasse,10179 Berlin,Mitte (Mitte),75,Mitte,16.923076923076923
1511,3 Zim.-Wohnung mit Einbauküche und Balkon in Rheingauviertel / Friedenau -- 2017 Vollsaniert,https://www.immobilienscout24.de/expose/115590794,1390.0,160.0,0.0,1550.0,2780,1 von 4,80.5,3,,1.0,,True,1926.0,2017.0,Saniert,Fernwärme,Fernwärme-Dampf,laut Gesetz nicht erforderlich,,,,"Deidesheimer Straße 00, 14197 Berlin, Friedenau (Schöneberg)",Deidesheimer Straße,14197 Berlin,Friedenau (Schöneberg),00,Friedenau,17.267080745341616
1512,Ruhiges 4 Zi Dachgeschoss in der Nähe vom Oliver Platz,https://www.immobilienscout24.de/expose/115590693,2201.0,147.0,187.0,2535.0,3x Nettokaltmieten (6603.-),6 von 7,157.2,4,3.0,3.0,True,True,1959.0,2018.0,Saniert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,109.7,Zähringerstr. 33a 10707 Berlin,"Zähringerstr. 33a, 10707 Berlin, Wilmersdorf (Wilmersdorf)",Zähringerstr.,10707 Berlin,Wilmersdorf (Wilmersdorf),33,Wilmersdorf,14.001272264631044
1513,"Helle, gut geschnittene 3-Zi-Wohnung, Nähe Rüdesheimer Platz",https://www.immobilienscout24.de/expose/115591635,695.0,250.0,0.0,945.0,3 Netto-Kaltmieten,3 von 5,69.0,3,,1.0,,,1938.0,2020.0,Erstbezug nach Sanierung,Fernwärme,Fernwärme,laut Gesetz nicht erforderlich,,,,"14197 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14197 Berlin,Wilmersdorf (Wilmersdorf),,Wilmersdorf,10.072463768115941
1514,Zwischenmiete - Sommer über den Dächern Berlins,https://www.immobilienscout24.de/expose/115591577,1550.0,450.0,0.0,2000.0,2000,5 von 5,130.0,3,2.0,2.0,True,True,,,Neuwertig,,,,,,,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10435 Berlin,Prenzlauer Berg (Prenzlauer Berg),,Prenzlauer Berg,11.923076923076923
1515,"2-Zimmer-Neubauwohnung, 1. OG - naturnah und verkehrsgünstig wohnen in Berlin-Rudow",https://www.immobilienscout24.de/expose/115591432,900.0,200.0,0.0,1100.0,2850,1 von 1,71.96,2,,1.0,,True,2019.0,,Erstbezug,Fußbodenheizung,,liegt vor,Bedarfsausweis,,,"Krokusstraße 2b, 12357 Berlin-Rudow, Rudow (Neukölln)",Krokusstraße,12357 Berlin-Rudow,Rudow (Neukölln),2,Rudow,12.506948304613676
1516,"Exklusive, geräumige und neuwertige 2-Zimmer-Wohnung mit Balkon und EBK in Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/115591680,1500.0,212.0,0.0,1712.0,4500,3 von 5,73.0,2,,1.0,,True,1902.0,2015.0,Neuwertig,Zentralheizung,Gas,liegt zur Besichtigung vor,,,,"10407 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10407 Berlin,Prenzlauer Berg (Prenzlauer Berg),,Prenzlauer Berg,20.54794520547945
1517,"696 €, 58 m², 3 Zimmer",https://www.immobilienscout24.de/expose/115593330,696.0,,,896.0,4500,,58.0,3,,,,True,,,,,,,,,,"Gehsener Straße 100, 12555 Berlin, Köpenick (Köpenick)",Gehsener Straße,12555 Berlin,Köpenick (Köpenick),100,Köpenick,12.0
1518,"1.650 €, 63 m², 3 Zimmer",https://www.immobilienscout24.de/expose/115593632,1650.0,,,1650.0,4500,,63.0,3,,,,True,,,,,,,,,,"Roseggerstraße 24, 12059 Berlin, Neukölln (Neukölln)",Roseggerstraße,12059 Berlin,Neukölln (Neukölln),24,Neukölln,26.19047619047619
1519,Suche Nachmieter*in für schöne Gartenhauswohnung in Alt-Mariendorf,https://www.immobilienscout24.de/expose/115595242,578.0,117.0,,695.0,1734,3 von 3,52.0,2,,1.0,,True,,2017.0,Modernisiert,Etagenheizung,,,,,,"Mariendorfer Damm 149, 12107 Berlin, Mariendorf (Tempelhof)",Mariendorfer Damm,12107 Berlin,Mariendorf (Tempelhof),149,Mariendorf,11.115384615384615
1520,"Schöne helle 3-Zimmer-Wohnung mit Balkon in Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/115599489,923.0,170.0,,1093.0,2769,4 von 4,94.27,3,,1.0,,,,,,Etagenheizung,,,,,,"14059 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14059 Berlin,Charlottenburg (Charlottenburg),,Charlottenburg,9.791025777023444
1521,Bezaubernde 1-Zi-Wohnung in Lichterfelde-West - dicht FU Berlin!,https://www.immobilienscout24.de/expose/115593201,445.6,80.0,35.0,560.6,1437.-,0 von 4,33.0,1,1.0,1.0,,True,1963.0,2016.0,Vollständig renoviert,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,LEIBLE & CIE. Gethsemanestr. 1 10437 Berlin,"Memlingstr. 18, 12203 Berlin, Lichterfelde (Steglitz)",Memlingstr.,12203 Berlin,Lichterfelde (Steglitz),18,Lichterfelde,13.503030303030304
1522,"Familienfreundliche, sanierte 4-Zimmer-Wohnung mit Balkon und Einbauküche in Reinickendorf, Berlin",https://www.immobilienscout24.de/expose/115598099,1200.0,265.0,0.0,1465.0,3600,1 von 4,85.0,4,,1.0,,True,1912.0,2019.0,Saniert,Zentralheizung,Gas,liegt vor,,,,"Reginhardstr. 149, 13629 Berlin, Reinickendorf (Reinickendorf)",Reginhardstr.,13629 Berlin,Reinickendorf (Reinickendorf),149,Reinickendorf,14.117647058823529
1523,Charmante Altbauwohnung mit Sonnenausrichtung in begehrter Wohnlage im Mauerpark-Kiez,https://www.immobilienscout24.de/expose/115595431,1945.0,250.0,,2195.0,4350,4 von 4,154.0,5,,2.0,,True,,,Modernisiert,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,103.0,,"10437 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10437 Berlin,Prenzlauer Berg (Prenzlauer Berg),,Prenzlauer Berg,12.62987012987013
1524,"980 €, 49 m², 2 Zimmer",https://www.immobilienscout24.de/expose/115599653,980.0,,0.0,1150.0,2300 Euro,,49.0,2,1.0,1.0,True,True,2019.0,,Erstbezug,Fußbodenheizung,Fernwärme,,Bedarfsausweis,,,"13086 Berlin, Weißensee (Weißensee) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13086 Berlin,Weißensee (Weißensee),,Weißensee,20.0
1525,"Erstbezug! Stilvolles, geräumiges Studio-Apartment mit Balkon,Tageslichtbad,EBK",https://www.immobilienscout24.de/expose/115601012,869.0,130.0,0.0,999.0,2607,3 von 5,43.25,1,,1.0,True,True,2014.0,,Erstbezug,Fernwärme,KWK fossil,liegt vor,Bedarfsausweis,,,"Bernkasteler Straße 7, 13088 Berlin, Weißensee (Weißensee)",Bernkasteler Straße,13088 Berlin,Weißensee (Weißensee),7,Weißensee,20.09248554913295
1526,"Helle, geräumige 1-Zimmer-Wohnung in Alt-Hohenschönhausen, Berlin",https://www.immobilienscout24.de/expose/115606097,495.0,100.0,0.0,595.0,1485.00,1 von 3,38.0,1,,1.0,,True,,,,Zentralheizung,,,,,,"Konrad-Wolf-Straße 0, 13055 Berlin, Alt-Hohenschönhausen (Hohenschönhausen)",Konrad-Wolf-Straße,13055 Berlin,Alt-Hohenschönhausen (Hohenschönhausen),0,Alt-Hohenschönhausen,13.026315789473685
1527,"Ruhige gelegene, schöne 3-Zimmer Hochparterre-Wohnung mit EBK in Hermsdorf",https://www.immobilienscout24.de/expose/115606135,800.0,250.0,0.0,1050.0,1600,1 von 1,84.0,3,,1.0,,True,,,,Zentralheizung,,,,,,"Schulzendorfer Straße 34 A, 13467 Berlin, Hermsdorf (Reinickendorf)",Schulzendorfer Straße,13467 Berlin,Hermsdorf (Reinickendorf),34,Hermsdorf,9.523809523809524
1528,"Luxuriöse, sehr helle 4 Zimmer Wohnung in Bestlage Prenzlauer Berg",https://www.immobilienscout24.de/expose/115607969,2299.0,416.0,0.0,2715.0,3 Kaltmieten,5 von 6,130.0,4,,2.0,True,True,2008.0,2019.0,Neuwertig,Fußbodenheizung,,,,,,"Pasteurstrasse 20, 10407 Berlin, Prenzlauer Berg (Prenzlauer Berg)",Pasteurstrasse,10407 Berlin,Prenzlauer Berg (Prenzlauer Berg),20,Prenzlauer Berg,17.684615384615384
1529,"Schöne, geräumige vier Zimmer Wohnung in Berlin, Wilmersdorf",https://www.immobilienscout24.de/expose/115612463,2750.0,250.0,0.0,3000.0,8400,1 von 7,148.38,4,,2.0,True,True,2019.0,2020.0,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,,,Alexander Knaus,"Heilbronner Straße 10, 10711 Berlin, Wilmersdorf (Wilmersdorf)",Heilbronner Straße,10711 Berlin,Wilmersdorf (Wilmersdorf),10,Wilmersdorf,18.53349508019949
1530,4-Zimmer Wohnung mit Sauna und geräumiger EBK; Terrasse mit Garten; max. 1 Jahr,https://www.immobilienscout24.de/expose/115612484,2027.0,370.0,0.0,2467.0,6081.00,,144.84,4,2.0,1.0,,True,1860.0,2007.0,Vollständig renoviert,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,78.0,ProImmobilia Verwaltungsgesellschaft für Haus- und Grundbesitz mbH,"Georg-Löwenstein-Str. 12, 10317 Berlin, Lichtenberg (Lichtenberg)",Georg-Löwenstein-Str.,10317 Berlin,Lichtenberg (Lichtenberg),12,Lichtenberg,13.994752830709748
1531,Geräumige 2 Zimmerwohnung mit EBK und Wintergarten in parkänlicher Wohnanlage,https://www.immobilienscout24.de/expose/115590528,574.83,145.62,86.22,876.67,3 Kaltmieten,1 von 3,63.87,2,1.0,1.0,,True,1996.0,,Gepflegt,Fußbodenheizung,Gas,liegt vor,Verbrauchsausweis,131.0,Sabine Schäfer Hausverwaltung GmbH Torstraße 6 10119 Berlin,"Parksiedlung Spruch 3 bis 137, 12349 Berlin, Buckow (Neukölln)",Parksiedlung Spruch,12349 Berlin,Buckow (Neukölln),3,Buckow,9.000000000000002
1532,Charmante 1 Raumwohnung mit Balkon,https://www.immobilienscout24.de/expose/115582369,705.0,130.0,0.0,835.0,3 Netto Kaltmieten,1 von 3,55.3,1,1.0,1.0,,True,1900.0,,,Zentralheizung,,liegt vor,,,Markgrafen Quartier Hausverwaltung GmbH Neue Grünstr. 18 10179 Berlin,"Mariendorfer Damm 183, 12107 Berlin, Mariendorf (Tempelhof)",Mariendorfer Damm,12107 Berlin,Mariendorf (Tempelhof),183,Mariendorf,12.74864376130199
1533,*Charmante 2 Raumwohnung*Optionaler Einbauküche*Renoviert*,https://www.immobilienscout24.de/expose/115582428,699.0,150.0,0.0,849.0,3 Netto Kaltmieten,5 von 3,58.0,1,1.0,1.0,True,,1900.0,,,Zentralheizung,,liegt vor,,,Markgrafen Quartier Hausverwaltung GmbH Neue Grünstr. 18 10179 Berlin,"Cranachstraße 45, 12157 Berlin, Schöneberg (Schöneberg)",Cranachstraße,12157 Berlin,Schöneberg (Schöneberg),45,Schöneberg,12.051724137931034
1534,Geräumige 2 Zimmer Wohnung,https://www.immobilienscout24.de/expose/115582798,1350.0,150.0,150.0,1650.0,3 NKM,2 von 5,81.0,2,1.0,1.0,,True,1910.0,2012.0,Neuwertig,Zentralheizung,Fernwärme-Dampf,liegt vor,Bedarfsausweis,,Galluzzo Cristian Kiefholzstr. 18B 12435 Berlin,"Marien Straße 9, 10117 Berlin, Mitte (Mitte)",Marien Straße,10117 Berlin,Mitte (Mitte),9,Mitte,16.666666666666668
1535,HOMESK - Helle 2-Zimmerwohnung in Neukölln,https://www.immobilienscout24.de/expose/115582788,1048.05,142.0,99.0,1289.05,3 Nettokaltmieten,3 von 5,61.65,2,1.0,1.0,True,True,2018.0,2018.0,Neuwertig,Fußbodenheizung,Fernwärme,liegt zur Besichtigung vor,,,Homesk GmbH Mittenwalder Straße 29 10961 Berlin,"Delbrückstraße 41, 12051 Berlin, Neukölln (Neukölln)",Delbrückstraße,12051 Berlin,Neukölln (Neukölln),41,Neukölln,17.0
1536,"*Update bitte keine weiteren Anfragen* Schöne drei Zimmer Wohnung in Berlin, Lichterfelde (Steglitz)",https://www.immobilienscout24.de/expose/115585487,844.0,220.0,65.0,1129.0,2970,1 von 2,83.0,3,,1.0,,True,1965.0,2008.0,Erstbezug nach Sanierung,Etagenheizung,Öl,liegt vor,Verbrauchsausweis,,,"12205 Berlin, Lichterfelde (Steglitz) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12205 Berlin,Lichterfelde (Steglitz),,Lichterfelde,10.168674698795181
1537,Kleine 1-Zimmer-Wohnung in ruhiger Lage sucht neuen Mieter,https://www.immobilienscout24.de/expose/115584752,350.0,120.0,0.0,470.0,1050.00,1,35.32,1,,,,,1912.0,,,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,,Gewobag VB Mollnerweg 35 12353 Berlin,"Kirchstr. 79, 12277 Berlin, Marienfelde (Tempelhof)",Kirchstr.,12277 Berlin,Marienfelde (Tempelhof),79,Marienfelde,9.909399773499434
1538,Einzelappartement mit Balkon [möbliert],https://www.immobilienscout24.de/expose/115585072,540.0,,,661.0,3 Monatskaltmieten,,24.18,1,,,True,True,,,,,,,,,Immobilienverwaltung Riebeling GmbH,"Wexstraße 13-15, 10715 Berlin, Schöneberg (Schöneberg)",Wexstraße,10715 Berlin,Schöneberg (Schöneberg),13,Schöneberg,22.332506203473947
1539,FREITAG 7.02.2020 BESICHTIGUNG 17:00 Uhr*TOP*2-Zi. Whg.*sonnige LOGIA*neue EBK*Designerbad**Parkett*,https://www.immobilienscout24.de/expose/115586154,1095.0,1.0,0.0,1095.0,3 Monatskaltmieten,3 von 5,59.44,2,1.0,1.0,,True,1999.0,2019.0,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,IBF Immobilienkontor GmbH Torstraße 114 10119 Berlin - Mitte,"Käthe-Niederkirchner-Sraße 41, 10407 Berlin, Prenzlauer Berg (Prenzlauer Berg)",Käthe-Niederkirchner-Sraße,10407 Berlin,Prenzlauer Berg (Prenzlauer Berg),41,Prenzlauer Berg,18.421938088829073
1540,"Helle 3-Zimmer-EG-Wohnung mit 2 Terrassen, Gartenblick, modernem Bad + Parkettboden",https://www.immobilienscout24.de/expose/115585926,895.0,162.0,65.0,1122.0,2685,0 von 2,94.0,3,,1.0,,True,1980.0,2016.0,Modernisiert,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,170.0,,"13503 Berlin, Heiligensee (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13503 Berlin,Heiligensee (Reinickendorf),,Heiligensee,9.52127659574468
1541,FREITAG 7.02. - BESICHTIGUNG 17:00 Uhr*TOP*2-Zi. Whg.*sonnige LOGIA*neue EBK*Designerbad**Parkett*,https://www.immobilienscout24.de/expose/115586138,998.0,1.0,0.0,998.0,2685,3 von 5,48.0,2,1.0,1.0,,True,1999.0,2019.0,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,IBF Immobilienkontor GmbH Torstraße 114 10119 Berlin - Mitte,"Käthe-Niederkirchner-Sraße 41, 10407 Berlin, Prenzlauer Berg (Prenzlauer Berg)",Käthe-Niederkirchner-Sraße,10407 Berlin,Prenzlauer Berg (Prenzlauer Berg),41,Prenzlauer Berg,20.791666666666668
1542,"470 €, 22 m², 1 Zimmer",https://www.immobilienscout24.de/expose/115586310,470.0,,,615.0,2685,,22.0,1,,,True,True,,,,,,,,,,"Balatonstraße 1, 10319 Berlin, Friedrichsfelde (Lichtenberg)",Balatonstraße,10319 Berlin,Friedrichsfelde (Lichtenberg),1,Friedrichsfelde,21.363636363636363
1543,Gemütliche Wohnung im Herzen von Tempelhof!,https://www.immobilienscout24.de/expose/115587491,769.0,173.0,0.0,942.0,Kaution: 2307.00,1,58.71,2,,,True,True,1992.0,,Gepflegt,Zentralheizung,Gas,,Bedarfsausweis,,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Burgemeisterstraße 72, 12103 Berlin, Tempelhof (Tempelhof)",Burgemeisterstraße,12103 Berlin,Tempelhof (Tempelhof),72,Tempelhof,13.09827967978198
1544,Attraktive 4-Zimmer-Wohnung mit Balkon im altberliner Wohnstil in Witzleben,https://www.immobilienscout24.de/expose/115589207,1551.95,392.77,0.0,1944.72,3 Nettokaltmiete,1 von 4,147.0,4,,,True,,1907.0,,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,Trialog GmbH Karl-Marx-Allee 90a 10243 Berlin,"Dernburgstraße 53, 14057 Berlin, Charlottenburg (Charlottenburg)",Dernburgstraße,14057 Berlin,Charlottenburg (Charlottenburg),53,Charlottenburg,10.55748299319728
1545,Frisch gestrichen! Schöne Familienwohnung mit Balkon!,https://www.immobilienscout24.de/expose/115587493,999.0,246.0,0.0,1245.0,Kaution: 2997.00,1,80.2,3,,,,True,1991.0,,Gepflegt,Zentralheizung,Öl,,Verbrauchsausweis,129.0,Immonexxt GmbH Am Borsigturm 53 13507 Berlin,"Lauberhornweg 27, 12107 Berlin, Mariendorf (Tempelhof)",Lauberhornweg,12107 Berlin,Mariendorf (Tempelhof),27,Mariendorf,12.456359102244388
1546,Attraktive 1-Zimmer-Wohnung mit Wintergarten und Balkon direkt an der Spree,https://www.immobilienscout24.de/expose/115589183,588.71,152.16,0.0,740.87,3 Nettokaltmieten,5 von 8,52.47,1,,,True,,1996.0,,Gepflegt,,Gas,liegt vor,Bedarfsausweis,,Trialog GmbH Karl-Marx-Allee 90a 10243 Berlin,"An der Wuhlheide 234, 12459 Berlin, Oberschöneweide (Köpenick)",An der Wuhlheide,12459 Berlin,Oberschöneweide (Köpenick),234,Oberschöneweide,11.219935201067278
1547,Attraktive 3-Zimmer-Wohnung mit Wintergarten im schönen Köpenick,https://www.immobilienscout24.de/expose/115589223,798.21,190.0,,988.21,3 Nettokaltmieten,1 von 4,76.02,3,,,,True,1995.0,,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Trialog GmbH Karl-Marx-Allee 90a 10243 Berlin,"Friedenstraße 17, 12555 Berlin, Köpenick (Köpenick)",Friedenstraße,12555 Berlin,Köpenick (Köpenick),17,Köpenick,10.500000000000002
1548,Moderne 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in Köpenick,https://www.immobilienscout24.de/expose/115589265,746.13,190.0,,936.13,3 Nettokaltmieten,4 von 3,71.06,3,,,,True,1995.0,,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Trialog GmbH Karl-Marx-Allee 90a 10243 Berlin,"Friedenstraße 23, 12555 Berlin, Köpenick (Köpenick)",Friedenstraße,12555 Berlin,Köpenick (Köpenick),23,Köpenick,10.5
1549,Attraktive ruhige 2-Zimmerwohnung mit Terrasse - Kiez von Köpenick,https://www.immobilienscout24.de/expose/115589406,753.1,195.0,,948.1,3 Nettokaltmieten,,75.31,2,,,,,1996.0,,Gepflegt,,Gas,liegt vor,Verbrauchsausweis,,Trialog GmbH Karl-Marx-Allee 90a 10243 Berlin,"Karlstraße 45, 12557 Berlin, Köpenick (Köpenick)",Karlstraße,12557 Berlin,Köpenick (Köpenick),45,Köpenick,10.0
1550,TOPLAGE - Wohnen wie im Urlaub mit direktem Spreeblick mitten in der Hauptstadt,https://www.immobilienscout24.de/expose/115582282,699.0,150.0,0.0,999.0,1950.00,1 von 9,42.0,1,1.0,1.0,True,True,1997.0,,Neuwertig,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,108.0,Immobilien Daniel Gansen Hermsdorfer Damm 91 13467 Berlin,"Dovestraße 5 B, 10587 Berlin, Charlottenburg (Charlottenburg)",Dovestraße,10587 Berlin,Charlottenburg (Charlottenburg),5,Charlottenburg,16.642857142857142
1551,Stadtvilla im Wohnpark Grünau: top 3-Zimmer-Wohnung frei ab 01. Juni 2020,https://www.immobilienscout24.de/expose/115578188,1039.0,312.0,0.0,1351.0,3117,1 von 2,83.14,3,2.0,1.0,,True,2014.0,,Gepflegt,Blockheizkraftwerke,Gas,liegt vor,Bedarfsausweis,,Barbara Madel Immobilien Ebertystraße 30 10249 Berlin,"Fähenweg 3, 12527 Berlin, Grünau (Köpenick)",Fähenweg,12527 Berlin,Grünau (Köpenick),3,Grünau,12.496993023815252
1552,HOMESK - Erstbezug! Helle 3-Zimmer Neubauwohnung mit Balkon,https://www.immobilienscout24.de/expose/115578731,1392.0,213.0,148.0,1753.0,3 Nettokaltmieten,1 von 5,92.0,3,2.0,2.0,True,True,2018.0,,Erstbezug,Fußbodenheizung,Fernwärme,liegt zur Besichtigung vor,,,Homesk GmbH Mittenwalder Straße 29 10961 Berlin,"Delbrückstraße 41, 12051 Berlin, Neukölln (Neukölln)",Delbrückstraße,12051 Berlin,Neukölln (Neukölln),41,Neukölln,15.130434782608695
1553,Super Single-Wohnung mit EBK m. allen Geräten!!!,https://www.immobilienscout24.de/expose/115578810,496.61,53.0,0.0,609.61,1489.83,1 von 3,39.32,1,,1.0,,True,1900.0,,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,CityGate Immobilien GmbH Uhlandstr. 3 10623 Berlin,"10317 Berlin, Lichtenberg (Lichtenberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10317 Berlin,Lichtenberg (Lichtenberg),,Lichtenberg,12.629959308240082
1554,HOMESK - Erstbezug! 3-Zimmer Wohnung mit Balkon im Neubau-Quartier,https://www.immobilienscout24.de/expose/115578950,1425.75,219.0,152.0,1796.75,3 Nettokaltmieten,4 von 5,95.0,3,2.0,2.0,True,True,2018.0,,Erstbezug,Fußbodenheizung,Fernwärme,,,,Homesk GmbH Mittenwalder Straße 29 10961 Berlin,"Delbrückstraße 41, 12051 Berlin, Neukölln (Neukölln)",Delbrückstraße,12051 Berlin,Neukölln (Neukölln),41,Neukölln,15.007894736842106
1555,HOMESK - Erstbezug! Große 3-Zimmer Wohnung mit Loggia,https://www.immobilienscout24.de/expose/115578851,1392.0,213.0,150.0,1755.0,3 Nettokaltmieten,2 von 5,92.0,3,2.0,2.0,True,True,2018.0,,Erstbezug,Fußbodenheizung,Fernwärme,,,,Homesk GmbH Mittenwalder Straße 29 10961 Berlin,"Delbrückstraße 41, 12051 Berlin, Neukölln (Neukölln)",Delbrückstraße,12051 Berlin,Neukölln (Neukölln),41,Neukölln,15.130434782608695
1556,"KONTAKT NUR/ONLY PER/VIA MAIL!!! 1-Zimmer-Appartement, Erstbezug Berlin-Charlottenburg!!!",https://www.immobilienscout24.de/expose/115579104,575.0,90.0,0.0,665.0,1725.00,,26.9,1,,1.0,,,2019.0,,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Märkische Immobilien Agentur Prenzlauer Chaussee 161 16348 Wandlitz,"10711 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10711 Berlin,Wilmersdorf (Wilmersdorf),,Wilmersdorf,21.375464684014872
1557,Lichtenrader Damm - Arbeiten & Wohnen-2020,https://www.immobilienscout24.de/expose/115578217,1415.0,300.0,0.0,1715.0,drei Kaltmieten,,117.0,6,4.0,1.0,,True,1973.0,,Renovierungsbedürftig,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,ZANDER Immobilien e.K. Bornstedter Strasse 8 10711 Berlin,"12305 Berlin, Lichtenrade (Tempelhof) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12305 Berlin,Lichtenrade (Tempelhof),,Lichtenrade,12.094017094017094
1558,HOMESK - Neukölln! 3 Zimmer Altbauwohnung mit Südbalkon im Vorderhaus,https://www.immobilienscout24.de/expose/115579421,1460.0,151.9,,1611.0,3 Nettokaltmieten,3 von 5,98.0,3,2.0,2.0,,True,1908.0,,Gepflegt,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,,Homesk GmbH Mittenwalder Straße 29 10961 Berlin,"Nogatstraße 26, 12051 Berlin, Neukölln (Neukölln)",Nogatstraße,12051 Berlin,Neukölln (Neukölln),26,Neukölln,14.89795918367347
1559,NUR MIT WBS-WOHNBERECHTIGUNGSSCHEIN !!! ANGENEHME WOHNANLAGE IN PANKOW -,https://www.immobilienscout24.de/expose/115579607,741.55,185.0,0.0,926.55,drei Kaltmieten,3,79.48,3,2.0,1.0,,,1997.0,,Gepflegt,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,ZANDER Immobilien e.K. Bornstedter Strasse 8 10711 Berlin,"13189 Berlin, Pankow (Pankow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,13189 Berlin,Pankow (Pankow),,Pankow,9.330020130850528
1560,2 Zimmer werden modernisiert - Greifen Sie zu!,https://www.immobilienscout24.de/expose/115579717,387.73,136.24,0.0,523.97,Kaution: 1163.00,0,45.2,"1,5",,,,,1965.0,,Saniert,Öl-Heizung,,,Verbrauchsausweis,,Deutsche Wohnen Gruppe,"Haackzeile 11, 13589 Berlin, Spandau (Spandau)",Haackzeile,13589 Berlin,Spandau (Spandau),11,Spandau,8.578097345132743
1561,Kleines Schmuckstück in der Spandauer Wilhelmstadt!,https://www.immobilienscout24.de/expose/115579723,429.24,170.48,0.0,599.72,Kaution: 1287.00,2,42.0,"1,5",,,,,1939.0,,,Fernwärme,Fernwärme,,Bedarfsausweis,,Deutsche Wohnen Gruppe,"Weverstr. 74D, 13595 Berlin, Spandau (Spandau)",Weverstr.,13595 Berlin,Spandau (Spandau),74,Spandau,10.22
1562,"HOMESK - Dachgeschoss-Maisonettewohnung, Altbau in Mitte, 206m², 3 Terrassen und Sauna",https://www.immobilienscout24.de/expose/115580210,3408.08,310.0,255.0,3973.08,3 Nettokaltmieten,3 von 4,206.55,2,1.0,3.0,,True,1831.0,2017.0,Neuwertig,Fußbodenheizung,Gas,laut Gesetz nicht erforderlich,,,Homesk GmbH Mittenwalder Straße 29 10961 Berlin,"Max-Beer-Straße 29, 10119 Berlin, Mitte (Mitte)",Max-Beer-Straße,10119 Berlin,Mitte (Mitte),29,Mitte,16.500024207213748
